visit_id,property_id,client_id,agent_id,visit_date,reason
206,1409,1945,118,2024-01-16,Considering purchase
207,187,526,211,2022-03-06,Viewing
208,2426,1017,215,2022-08-31,Price Inquiry
209,211,1267,126,2020-01-21,Price Inquiry
210,1700,1834,32,2021-11-18,Considering rent
211,878,999,4,2023-09-07,Comparing Options
212,2156,906,51,2024-01-23,Neighborhood Check
213,2734,1759,235,2022-10-09,Price Inquiry
214,1475,1077,103,2022-05-09,Considering rent
215,2610,1336,248,2022-03-11,Second Visit
216,466,832,121,2022-10-27,Considering rent
217,237,626,87,2021-09-18,Viewing
218,2310,1740,228,2020-07-03,Second Visit
219,845,481,155,2023-07-09,Viewing
220,887,955,65,2022-04-16,Second Visit
221,161,233,152,2022-09-07,Neighborhood Check
222,508,978,126,2023-02-26,Neighborhood Check
223,1516,188,181,2021-12-07,Viewing
224,205,987,197,2022-04-28,Comparing Options
225,911,184,32,2020-10-13,Considering rent
226,1795,768,192,2021-09-23,Second Visit
227,626,782,78,2020-12-26,Neighborhood Check
228,2885,541,36,2020-04-28,Price Inquiry
229,2022,110,247,2022-05-01,Price Inquiry
230,2214,1599,130,2022-05-25,Neighborhood Check
231,2744,1073,155,2022-12-01,Viewing
232,2273,1098,77,2021-08-28,Viewing
233,2613,723,240,2021-02-12,Considering rent
234,418,1234,236,2024-10-17,Second Visit
235,2863,900,231,2020-01-27,Viewing
236,1437,922,242,2024-01-20,Neighborhood Check
237,2774,458,207,2020-08-10,Viewing
238,631,1402,211,2022-09-12,Price Inquiry
239,2339,1753,85,2023-02-04,Viewing
240,903,477,118,2021-02-10,Second Visit
241,2946,466,125,2022-04-03,Comparing Options
242,2027,1723,73,2021-11-26,Considering rent
243,1501,976,62,2023-01-05,Neighborhood Check
244,314,484,124,2021-10-30,Neighborhood Check
245,694,1729,92,2021-06-06,Second Visit
246,688,1741,188,2024-12-03,Considering rent
247,386,981,227,2023-01-25,Second Visit
248,7,1256,135,2022-10-20,Viewing
249,294,929,155,2021-11-04,Price Inquiry
250,2193,1221,212,2021-11-23,Neighborhood Check
251,1346,613,104,2021-08-13,Considering rent
252,1334,349,206,2020-11-10,Viewing
253,95,550,15,2020-03-05,Second Visit
254,2797,498,21,2024-09-14,Considering purchase
255,1701,946,150,2020-04-12,Second Visit
256,2657,812,227,2021-01-18,Second Visit
257,697,1715,116,2022-10-11,Second Visit
258,733,470,143,2022-07-03,Maintenance Inquiry
259,2737,1261,218,2021-08-16,Second Visit
260,1489,1372,100,2024-02-15,Considering rent
261,1440,2033,225,2023-09-14,Price Inquiry
262,936,1144,89,2022-09-23,Second Visit
263,930,916,87,2022-02-18,Viewing
264,1359,1616,117,2020-01-05,Considering purchase
265,681,1730,246,2023-03-30,Viewing
266,1030,402,58,2023-10-24,Maintenance Inquiry
267,2484,625,60,2024-03-05,Considering purchase
268,755,1541,235,2020-04-17,Viewing
269,1825,1467,61,2022-08-31,Second Visit
270,1059,1287,148,2023-11-26,Viewing
271,2253,456,248,2021-08-08,Neighborhood Check
272,2505,1494,23,2022-02-21,Second Visit
273,2884,2018,79,2023-02-02,Second Visit
274,2492,193,157,2021-08-06,Viewing
275,969,728,41,2024-10-30,Considering purchase
276,750,535,24,2021-12-04,Viewing
277,390,201,100,2020-11-22,Considering rent
278,2371,257,181,2022-06-02,Price Inquiry
279,118,1766,111,2020-10-27,Viewing
280,62,130,230,2020-03-30,Second Visit
281,126,759,124,2020-01-21,Price Inquiry
282,2890,831,147,2020-12-12,Considering purchase
283,894,1189,64,2020-08-22,Considering purchase
284,2061,46,43,2021-12-13,Second Visit
285,2441,366,215,2024-03-12,Viewing
286,2707,124,78,2022-11-23,Second Visit
287,2250,413,99,2023-04-02,Viewing
288,1953,51,137,2024-04-27,Maintenance Inquiry
289,2609,1846,240,2023-05-26,Second Visit
290,1493,1396,155,2020-09-12,Second Visit
291,197,1358,117,2024-11-05,Considering purchase
292,1574,1780,28,2023-10-01,Considering rent
293,2262,1982,194,2021-10-13,Considering purchase
294,2110,713,13,2020-05-27,Considering rent
295,108,1119,42,2024-01-17,Second Visit
296,1687,334,145,2021-07-12,Price Inquiry
297,2084,222,90,2024-07-24,Viewing
298,2289,1303,77,2023-03-02,Price Inquiry
299,319,1276,240,2020-05-28,Considering rent
300,535,496,47,2021-04-02,Viewing
301,2802,1229,63,2020-06-10,Viewing
302,2115,1603,14,2024-09-20,Considering rent
303,2131,601,165,2021-05-13,Maintenance Inquiry
304,973,72,242,2022-02-20,Price Inquiry
305,1852,24,82,2023-08-14,Price Inquiry
306,2152,1998,36,2024-11-14,Second Visit
307,535,1821,207,2021-10-18,Viewing
308,1318,255,173,2021-05-24,Viewing
309,2900,106,3,2024-01-26,Viewing
310,582,1618,246,2021-02-01,Viewing
311,1310,901,111,2022-12-06,Comparing Options
312,2416,1750,171,2023-11-10,Considering rent
313,1004,147,178,2022-04-27,Maintenance Inquiry
314,1324,1579,42,2024-08-04,Viewing
315,2471,1423,135,2023-03-11,Price Inquiry
316,381,1484,126,2021-03-29,Neighborhood Check
317,353,516,112,2024-03-19,Viewing
318,890,1300,156,2024-02-01,Price Inquiry
319,752,419,41,2022-03-20,Considering purchase
320,223,1961,51,2022-12-31,Considering purchase
321,867,1201,69,2024-12-20,Price Inquiry
322,2986,853,203,2021-01-25,Neighborhood Check
323,220,1134,85,2020-08-10,Considering purchase
324,2548,148,153,2022-10-08,Price Inquiry
325,93,782,235,2023-03-28,Price Inquiry
326,2655,624,78,2023-08-17,Neighborhood Check
327,2434,1067,134,2021-12-10,Price Inquiry
328,2709,378,175,2020-03-10,Neighborhood Check
329,2633,1720,136,2023-06-29,Considering purchase
330,1950,1761,64,2020-01-11,Second Visit
331,362,1763,137,2020-04-18,Maintenance Inquiry
332,541,183,64,2020-02-05,Neighborhood Check
333,2031,1778,18,2020-04-16,Price Inquiry
334,261,982,126,2020-07-14,Viewing
335,1218,643,184,2022-03-21,Comparing Options
336,63,505,45,2023-03-23,Considering rent
337,252,2057,111,2021-10-07,Price Inquiry
338,1634,623,231,2022-08-09,Considering purchase
339,2083,1505,244,2021-04-05,Neighborhood Check
340,2143,1999,79,2024-12-19,Viewing
341,1945,36,35,2021-06-18,Price Inquiry
342,1360,928,47,2024-05-24,Considering purchase
343,443,1147,75,2023-01-11,Second Visit
344,1124,809,46,2020-05-23,Viewing
345,2373,1770,89,2022-06-12,Viewing
346,160,1758,116,2020-04-03,Comparing Options
347,2299,1322,54,2020-08-08,Second Visit
348,1838,604,243,2020-08-29,Comparing Options
349,141,1773,150,2020-05-16,Viewing
350,553,193,26,2023-03-15,Second Visit
351,794,36,28,2024-08-15,Second Visit
352,727,202,89,2021-10-09,Second Visit
353,2121,1220,133,2021-07-03,Maintenance Inquiry
354,2905,1627,186,2020-11-28,Considering purchase
355,2327,314,49,2024-06-27,Considering purchase
356,1934,586,150,2023-11-10,Second Visit
357,2942,397,214,2020-07-02,Viewing
358,1484,736,48,2020-05-16,Price Inquiry
359,2640,1588,70,2023-10-15,Second Visit
360,183,62,181,2021-09-19,Viewing
361,1418,1998,102,2022-11-03,Second Visit
362,22,1853,203,2023-05-08,Viewing
363,499,1882,61,2020-05-20,Price Inquiry
364,948,1059,207,2023-07-10,Second Visit
365,2102,1106,100,2022-06-30,Price Inquiry
366,2932,286,205,2022-11-09,Considering rent
367,1319,1870,187,2020-10-28,Viewing
368,1023,110,4,2021-04-14,Considering purchase
369,2139,1978,147,2022-02-26,Second Visit
370,484,1877,63,2024-01-06,Neighborhood Check
371,1684,1606,50,2024-11-15,Viewing
372,2147,674,216,2020-12-14,Second Visit
373,1383,776,67,2022-01-28,Comparing Options
374,1735,1109,61,2021-06-15,Viewing
375,2851,1178,65,2024-10-21,Considering purchase
376,1470,935,226,2021-05-26,Considering rent
377,2404,100,206,2020-09-30,Considering rent
378,1601,1960,175,2024-10-18,Second Visit
379,35,1012,124,2024-04-02,Second Visit
380,1636,1786,128,2020-05-11,Considering rent
381,1706,400,100,2024-02-01,Comparing Options
382,2740,1511,46,2023-06-25,Second Visit
383,1256,802,227,2023-07-14,Second Visit
384,962,1897,106,2022-01-09,Viewing
385,1361,224,74,2021-07-18,Second Visit
386,1072,1497,206,2024-10-03,Viewing
387,1823,1080,195,2022-02-07,Considering purchase
388,1785,653,67,2022-02-21,Viewing
389,684,453,99,2022-10-24,Second Visit
390,1960,403,73,2024-04-10,Neighborhood Check
391,2768,630,57,2020-08-29,Considering rent
392,1829,1326,149,2024-12-16,Viewing
393,609,1714,155,2022-07-27,Neighborhood Check
394,734,364,150,2021-01-24,Second Visit
395,1176,36,22,2023-07-11,Viewing
396,2636,648,81,2022-01-15,Second Visit
397,2095,624,211,2024-10-13,Considering purchase
398,1699,595,206,2020-10-09,Considering rent
399,214,1863,194,2024-12-17,Viewing
400,540,1207,102,2020-03-25,Considering rent
401,1068,1663,24,2024-08-20,Second Visit
402,2009,481,118,2024-03-24,Viewing
403,2538,615,70,2021-07-07,Viewing
404,1767,1953,27,2023-11-01,Second Visit
405,1666,1679,233,2021-04-25,Neighborhood Check
406,560,982,161,2024-08-12,Neighborhood Check
407,41,1883,51,2022-05-12,Viewing
408,2387,707,241,2022-03-15,Considering purchase
409,2758,1111,154,2022-05-12,Considering purchase
410,1869,1777,210,2022-02-08,Price Inquiry
411,247,1967,179,2023-09-13,Viewing
412,681,288,131,2024-02-27,Viewing
413,425,1209,208,2021-04-10,Considering rent
414,1256,1330,210,2023-11-27,Neighborhood Check
415,2800,340,102,2023-01-03,Second Visit
416,559,991,117,2024-08-31,Viewing
417,2895,239,123,2021-04-24,Considering rent
418,994,1821,18,2021-10-11,Price Inquiry
419,2882,1768,154,2021-04-04,Price Inquiry
420,2313,912,134,2020-11-22,Considering purchase
421,220,508,93,2022-10-08,Viewing
422,1872,848,71,2022-10-06,Second Visit
423,2644,2031,70,2020-10-05,Neighborhood Check
424,2915,1770,121,2023-10-11,Viewing
425,2455,1631,161,2022-09-09,Second Visit
426,1775,298,181,2023-09-09,Neighborhood Check
427,1430,1324,247,2021-02-28,Price Inquiry
428,324,264,69,2023-09-09,Viewing
429,890,1734,14,2023-09-11,Considering rent
430,536,2038,53,2023-06-25,Considering rent
431,352,1069,24,2020-12-03,Neighborhood Check
432,2451,243,209,2021-09-08,Second Visit
433,2707,1784,5,2024-06-01,Comparing Options
434,546,754,103,2024-03-05,Viewing
435,360,1097,84,2024-06-08,Second Visit
436,793,5,245,2023-11-28,Second Visit
437,2644,705,116,2022-11-12,Viewing
438,743,208,130,2020-03-01,Considering purchase
439,1197,551,180,2021-01-27,Viewing
440,469,1115,73,2023-02-03,Price Inquiry
441,2814,1931,86,2023-06-15,Price Inquiry
442,1851,795,98,2021-08-19,Maintenance Inquiry
443,1877,1622,109,2021-02-20,Price Inquiry
444,1859,501,153,2022-10-19,Second Visit
445,2813,595,128,2021-05-26,Considering purchase
446,2872,1965,84,2024-10-18,Considering rent
447,1540,731,132,2020-02-15,Neighborhood Check
448,2991,616,239,2021-05-31,Maintenance Inquiry
449,647,60,167,2021-03-12,Considering rent
450,2883,1585,82,2023-08-08,Second Visit
451,2266,1688,17,2024-04-03,Comparing Options
452,1147,815,185,2022-08-21,Considering purchase
453,1945,1859,63,2024-12-16,Viewing
454,1278,621,193,2024-09-24,Comparing Options
455,1332,1821,14,2024-02-20,Viewing
456,387,1679,2,2024-05-10,Considering purchase
457,863,1998,144,2020-03-22,Second Visit
458,2154,2051,101,2024-03-30,Comparing Options
459,830,463,41,2023-05-13,Neighborhood Check
460,1047,79,225,2023-10-21,Viewing
461,62,137,130,2020-01-16,Comparing Options
462,408,1847,247,2023-11-14,Second Visit
463,2538,434,244,2021-06-28,Considering rent
464,741,1637,77,2022-04-15,Price Inquiry
465,2293,1244,34,2020-01-17,Viewing
466,1860,259,92,2020-12-02,Considering purchase
467,281,123,79,2021-08-06,Viewing
468,1422,1579,27,2022-02-08,Considering purchase
469,1680,1340,52,2024-12-14,Considering rent
470,1932,1716,16,2022-07-11,Price Inquiry
471,1340,1448,198,2020-08-11,Second Visit
472,176,77,162,2024-12-09,Viewing
473,1067,1377,15,2022-11-11,Viewing
474,968,153,131,2023-08-01,Second Visit
475,808,1152,43,2024-05-22,Second Visit
476,2045,39,14,2022-02-21,Neighborhood Check
477,1174,1741,71,2021-06-24,Comparing Options
478,1363,121,72,2023-09-10,Considering rent
479,621,1345,54,2022-10-04,Price Inquiry
480,2897,1589,227,2024-02-21,Viewing
481,912,1954,124,2024-07-30,Considering rent
482,1199,544,179,2024-09-15,Viewing
483,835,2059,8,2023-07-16,Maintenance Inquiry
484,2385,900,168,2021-03-29,Considering purchase
485,2946,1411,148,2023-01-28,Second Visit
486,1358,259,247,2021-03-28,Second Visit
487,2713,1133,18,2020-07-30,Price Inquiry
488,1999,1887,226,2020-06-16,Neighborhood Check
489,166,1634,53,2024-08-03,Viewing
490,545,433,45,2022-01-27,Second Visit
491,59,1337,118,2023-11-06,Price Inquiry
492,2400,357,35,2021-02-08,Considering rent
493,1081,2057,35,2020-10-01,Viewing
494,2890,1104,181,2024-05-09,Viewing
495,1570,1535,91,2021-12-18,Viewing
496,2406,861,240,2021-11-12,Considering rent
497,2234,790,235,2020-03-02,Second Visit
498,2179,93,128,2020-03-09,Considering rent
499,2256,565,228,2023-10-26,Comparing Options
500,40,151,177,2022-01-04,Viewing
501,1432,902,207,2021-07-04,Viewing
502,1715,881,192,2021-01-23,Second Visit
503,203,546,95,2024-09-15,Second Visit
504,1897,699,207,2021-05-08,Considering purchase
505,812,1972,37,2021-05-01,Price Inquiry
506,2951,385,149,2022-07-14,Neighborhood Check
507,130,1630,168,2020-03-06,Viewing
508,602,1435,67,2022-10-29,Neighborhood Check
509,697,1777,161,2024-01-29,Price Inquiry
510,2595,2009,93,2020-09-15,Considering rent
511,1857,400,207,2021-06-14,Second Visit
512,824,1148,90,2023-09-26,Price Inquiry
513,2992,1815,168,2024-12-18,Considering purchase
514,643,1599,27,2022-09-02,Comparing Options
515,2271,1381,62,2023-07-14,Viewing
516,350,2003,136,2024-09-29,Considering purchase
517,2234,743,19,2024-01-27,Considering rent
518,1324,1807,193,2024-08-27,Comparing Options
519,212,253,126,2022-04-02,Viewing
520,2861,188,140,2023-11-18,Second Visit
521,1586,1208,113,2024-08-28,Considering rent
522,2854,1343,153,2022-03-26,Second Visit
523,1037,1274,228,2022-07-21,Neighborhood Check
524,151,961,72,2022-06-03,Viewing
525,2791,829,51,2023-08-16,Considering purchase
526,1610,1340,128,2023-09-18,Price Inquiry
527,2164,268,124,2023-02-15,Viewing
528,1363,802,57,2022-03-16,Second Visit
529,356,911,199,2024-12-20,Maintenance Inquiry
530,1961,1549,42,2023-03-14,Second Visit
531,1536,1291,4,2022-01-02,Second Visit
532,2958,1373,41,2024-05-20,Viewing
533,5,1768,156,2020-06-10,Price Inquiry
534,1726,855,212,2020-07-12,Considering rent
535,1383,898,73,2020-08-25,Second Visit
536,535,506,41,2022-07-01,Second Visit
537,363,1236,147,2024-05-07,Considering rent
538,1481,2060,41,2021-02-04,Second Visit
539,1109,1184,65,2024-11-17,Viewing
540,2217,815,230,2020-12-02,Viewing
541,1775,478,55,2020-01-22,Price Inquiry
542,2318,699,148,2020-07-13,Comparing Options
543,2008,1075,182,2024-03-22,Considering rent
544,877,1884,65,2021-03-25,Comparing Options
545,1962,1460,100,2022-10-28,Second Visit
546,128,945,97,2023-10-28,Considering purchase
547,736,387,245,2021-03-23,Second Visit
548,1839,1631,51,2021-08-30,Neighborhood Check
549,243,115,203,2020-04-11,Comparing Options
550,1894,2030,63,2021-11-01,Considering rent
551,757,1222,27,2020-11-29,Price Inquiry
552,1796,391,150,2021-03-13,Price Inquiry
553,912,364,240,2021-08-15,Considering rent
554,582,868,1,2023-11-05,Second Visit
555,1756,1628,149,2021-01-08,Viewing
556,1246,127,47,2024-07-23,Considering purchase
557,837,407,176,2021-12-16,Comparing Options
558,2064,91,19,2023-09-16,Considering rent
559,2674,1595,230,2021-11-29,Viewing
560,1221,1037,105,2021-02-12,Maintenance Inquiry
561,119,1910,62,2023-06-24,Viewing
562,958,403,116,2022-12-03,Comparing Options
563,1701,1467,111,2022-04-27,Second Visit
564,2124,763,210,2022-09-23,Second Visit
565,2385,571,12,2022-06-04,Comparing Options
566,554,94,157,2022-09-19,Second Visit
567,2733,1441,190,2021-07-03,Viewing
568,142,1027,30,2022-09-29,Considering purchase
569,782,1032,148,2021-09-09,Viewing
570,713,956,242,2022-11-06,Comparing Options
571,2960,179,36,2021-03-14,Considering purchase
572,2548,1813,197,2023-08-02,Considering rent
573,1894,1333,119,2022-06-27,Maintenance Inquiry
574,68,1298,147,2023-04-22,Considering purchase
575,1716,1460,46,2021-01-11,Second Visit
576,111,1320,120,2020-12-09,Neighborhood Check
577,291,201,5,2020-02-16,Viewing
578,680,845,123,2020-10-12,Price Inquiry
579,770,906,180,2023-06-04,Second Visit
580,2365,1692,219,2024-02-19,Comparing Options
581,2474,1842,121,2021-03-28,Comparing Options
582,2258,953,111,2021-05-17,Second Visit
583,1143,1534,30,2022-08-23,Considering rent
584,1300,118,116,2021-07-14,Neighborhood Check
585,401,1703,210,2024-05-14,Neighborhood Check
586,463,747,222,2023-07-15,Viewing
587,1477,2029,29,2023-04-29,Price Inquiry
588,90,447,18,2024-06-25,Price Inquiry
589,976,675,60,2020-07-02,Price Inquiry
590,1578,1746,37,2021-01-27,Considering purchase
591,1995,33,51,2020-12-23,Price Inquiry
592,177,78,59,2021-03-01,Maintenance Inquiry
593,2191,591,2,2024-08-14,Considering purchase
594,1306,1168,241,2020-08-26,Second Visit
595,2522,229,104,2023-02-01,Second Visit
596,1964,508,82,2023-09-19,Considering purchase
597,1581,1503,118,2020-11-07,Neighborhood Check
598,891,665,244,2023-09-18,Viewing
599,908,2006,208,2021-06-25,Considering purchase
600,1621,796,135,2021-12-19,Viewing
601,698,90,213,2020-07-22,Second Visit
602,2803,206,65,2023-08-31,Viewing
603,148,1850,186,2024-12-23,Second Visit
604,1032,1824,177,2020-10-05,Second Visit
605,2897,1323,146,2023-08-05,Second Visit
606,2124,1714,99,2024-01-03,Viewing
607,1330,1518,172,2024-08-23,Second Visit
608,1444,1272,13,2020-01-28,Neighborhood Check
609,1517,1610,190,2020-07-08,Price Inquiry
610,1226,951,79,2020-02-14,Price Inquiry
611,2789,1186,7,2021-03-05,Price Inquiry
612,193,810,134,2022-06-08,Second Visit
