property_id,owner_id,property_manager_id,address_id,listing_date,property_type,rooms,bathrooms,parking,condition,listing_type,listing_price
145,470,8,145,10/26/2020,Villa,8,4,2,Good,Rent,16314
146,465,119,146,8/22/2021,Apartment,3,1,3,Good,Rent,4065
147,563,38,147,12/4/2021,House,3,4,3,Good,Sale,436710
148,1173,174,148,3/23/2023,Villa,6,6,3,Poor,Sale,1279508
149,1422,110,149,4/2/2023,Apartment,3,2,2,Good,Rent,2879
150,411,174,150,6/8/2023,Villa,6,5,2,Fair,Sale,1302733
151,1732,25,151,2/16/2021,House,6,2,2,Good,Rent,5747
152,981,158,152,5/1/2024,Apartment,4,3,1,Good,Sale,377481
153,1684,110,153,12/9/2024,Studio,1,1,3,Good,Sale,131131
154,794,137,154,10/18/2021,House,4,2,3,Good,Rent,4802
155,187,88,155,10/25/2022,Apartment,4,3,1,Fair,Sale,321314
156,199,250,156,6/2/2020,Studio,1,1,1,Good,Sale,214561
157,1263,224,157,1/30/2020,Office,4,1,0,Good,Sale,270492
158,1399,59,158,4/27/2022,Apartment,3,1,1,Fair,Sale,209748
159,1079,25,159,4/17/2024,Apartment,4,3,2,Good,Rent,3949
160,1049,224,160,11/7/2020,Apartment,3,3,1,Good,Sale,230872
161,137,165,161,3/24/2022,Office,3,2,0,Poor,Rent,1683
162,190,165,162,12/11/2020,Studio,1,1,0,Good,Rent,2345
163,127,238,163,9/1/2024,Villa,5,3,0,Poor,Rent,9130
164,1008,9,164,8/5/2021,Studio,1,1,3,Good,Sale,122829
165,30,83,165,4/26/2020,Studio,2,1,2,Good,Rent,2044
166,1424,137,166,6/25/2023,Apartment,2,1,3,Good,Rent,1876
167,1363,137,167,12/21/2021,Studio,2,1,3,Good,Sale,250968
168,777,115,168,6/3/2023,Villa,5,4,3,Good,Sale,803770
169,1335,115,169,2/16/2022,Apartment,3,3,2,Fair,Rent,2934
170,411,238,170,7/30/2022,Villa,5,4,2,Good,Sale,904069
171,1077,169,171,5/31/2021,Apartment,2,3,2,Good,Rent,3704
172,749,178,172,6/20/2023,Apartment,2,1,3,Fair,Sale,218741
173,680,114,173,2/3/2022,House,3,2,1,Poor,Sale,237204
174,1489,234,174,10/25/2021,Apartment,3,3,2,Fair,Rent,3773
175,311,224,175,5/22/2021,Villa,5,5,2,Fair,Rent,9249
176,1568,33,176,9/2/2024,House,5,2,0,Poor,Rent,5771
177,1542,59,177,8/2/2021,House,6,3,3,Good,Sale,952012
178,1412,224,178,6/4/2021,Office,4,2,0,Good,Rent,2574
179,199,38,179,8/21/2024,House,3,4,1,Poor,Sale,274347
180,27,163,180,12/9/2021,House,3,3,0,Good,Sale,533978
181,889,59,181,7/4/2023,Studio,1,1,3,Good,Sale,119184
182,324,165,182,4/22/2022,House,4,2,1,Poor,Sale,456210
183,1057,165,183,7/18/2022,Apartment,3,3,1,Good,Rent,2668
184,1715,98,184,6/8/2023,Studio,2,1,1,Good,Rent,2143
185,648,115,185,10/4/2024,House,3,2,0,Fair,Rent,4578
186,1532,40,186,1/26/2023,Villa,4,3,2,Good,Rent,10053
187,127,174,187,8/23/2023,Studio,1,1,2,Fair,Sale,114520
188,237,83,188,10/3/2023,Office,4,3,0,Good,Rent,2380
189,1085,98,189,7/21/2024,House,6,3,2,Good,Rent,9132
190,876,151,190,12/8/2021,Apartment,2,3,0,Good,Rent,2324
191,417,170,191,1/21/2022,Studio,1,1,2,Good,Rent,1572
192,1287,56,192,2/13/2023,Apartment,2,3,1,Good,Rent,2555
193,317,174,193,10/29/2021,Office,5,3,1,Fair,Sale,252048
194,879,38,194,1/31/2020,Villa,4,4,2,Good,Sale,878464
195,217,199,195,11/15/2020,Villa,6,4,3,Good,Rent,10327
196,1112,164,196,8/19/2021,Studio,2,1,1,Good,Rent,3194
197,137,31,197,9/6/2024,Villa,6,3,0,Good,Sale,1023927
198,1069,250,198,10/1/2022,Office,2,3,3,Good,Rent,2033
199,1048,20,199,12/26/2022,Apartment,3,2,1,Good,Sale,214184
200,244,199,200,12/25/2021,Villa,6,6,3,Fair,Rent,11947
201,1189,33,201,8/1/2022,Office,2,2,3,Good,Rent,3800
202,1007,137,202,9/16/2021,Apartment,4,3,1,Fair,Rent,5187
203,735,40,203,7/30/2023,Apartment,4,2,2,Poor,Rent,3115
204,517,239,204,11/22/2023,Apartment,4,1,0,Fair,Rent,2368
205,496,200,205,7/30/2021,House,4,3,0,Fair,Rent,4273
206,1482,223,206,9/20/2020,Office,3,2,0,Fair,Sale,190759
207,1384,56,207,1/13/2022,Studio,2,1,3,Fair,Sale,156481
208,1427,238,208,5/6/2022,Studio,2,1,3,Fair,Sale,147864
209,751,58,209,3/18/2023,Office,5,2,3,Good,Sale,297501
210,17,250,210,12/5/2020,Studio,1,1,1,Fair,Rent,1193
211,67,158,211,8/8/2024,Villa,6,4,0,Good,Sale,1164325
212,952,224,212,11/14/2022,Office,2,2,3,Good,Sale,266424
213,1143,58,213,6/29/2022,Apartment,4,2,2,Fair,Rent,4033
214,242,10,214,7/1/2022,Office,4,3,1,Fair,Rent,3696
215,1161,178,215,3/14/2021,Apartment,3,1,1,Good,Sale,293541
216,1280,143,216,6/20/2024,Office,4,3,1,Good,Sale,258128
217,470,163,217,10/15/2023,Office,4,1,2,Good,Sale,255246
218,1463,204,218,7/31/2022,Villa,5,6,0,Good,Rent,9735
219,401,202,219,8/24/2024,Studio,2,1,3,Good,Sale,166621
220,1190,250,220,1/14/2023,Office,1,3,3,Good,Rent,2782
221,258,133,221,11/20/2023,House,6,4,3,Poor,Sale,604496
222,694,158,222,5/21/2023,Office,3,1,2,Poor,Sale,168547
223,461,239,223,3/8/2020,Studio,2,1,2,Good,Sale,174439
224,119,143,224,3/1/2022,Apartment,3,2,2,Fair,Rent,3695
225,975,88,225,1/4/2021,House,5,2,2,Good,Sale,456103
226,835,178,226,2/6/2024,Villa,4,6,0,Good,Sale,1279494
227,492,234,227,1/8/2021,Villa,7,3,3,Good,Sale,1078314
228,1277,56,228,8/26/2024,House,5,3,3,Fair,Sale,535234
229,639,223,229,5/20/2023,Villa,6,5,0,Poor,Rent,11689
230,711,250,230,3/29/2020,Apartment,2,2,2,Good,Rent,1997
231,348,174,231,3/15/2024,Apartment,2,3,1,Fair,Rent,3347
232,1034,133,232,11/28/2024,Office,4,1,1,Fair,Rent,2259
233,1570,201,233,5/29/2022,House,6,4,1,Good,Sale,644834
234,135,250,234,10/29/2020,House,5,3,1,Fair,Rent,5241
235,1622,163,235,12/8/2020,Apartment,4,3,0,Good,Rent,5190
236,1479,183,236,7/25/2022,Villa,5,6,3,Poor,Rent,8466
237,1083,10,237,6/6/2020,Studio,2,1,3,Good,Rent,1973
238,1098,31,238,3/28/2020,Apartment,4,1,3,Good,Sale,217164
239,962,234,239,12/14/2024,Office,1,3,3,Good,Sale,137172
240,212,178,240,3/3/2021,Studio,2,1,3,Fair,Rent,1427
241,1631,83,241,10/16/2020,House,5,3,2,Fair,Sale,460764
242,1307,31,242,7/13/2022,Office,1,3,0,Poor,Sale,178040
243,1590,88,243,12/19/2023,House,6,3,1,Fair,Rent,5930
244,1354,40,244,9/25/2024,Studio,1,1,0,Fair,Sale,146534
245,1710,58,245,5/30/2021,Office,5,3,1,Fair,Sale,267497
246,69,169,246,3/4/2022,Apartment,4,3,3,Fair,Rent,4286
247,329,105,247,3/17/2020,House,6,3,2,Fair,Rent,8039
248,1654,8,248,6/18/2020,Studio,1,1,1,Good,Rent,1569
249,243,105,249,8/4/2024,House,3,4,1,Good,Sale,424674
250,1544,76,250,12/1/2020,Apartment,4,3,0,Fair,Sale,202804
251,838,204,251,6/15/2023,Apartment,4,2,0,Fair,Rent,3840
252,602,88,252,11/20/2023,Villa,7,5,3,Good,Sale,1048615
253,1472,178,253,5/22/2024,House,5,4,0,Fair,Sale,413029
254,1490,38,254,2/10/2021,Studio,1,1,2,Good,Sale,211905
255,1150,204,255,1/19/2020,Villa,8,3,1,Poor,Rent,8914
256,406,8,256,11/16/2024,Studio,1,1,2,Good,Sale,185134
257,1244,20,257,6/9/2023,Apartment,4,2,0,Good,Rent,3377
258,142,142,258,9/15/2021,Villa,7,3,2,Poor,Sale,1008610
259,333,68,259,3/24/2024,Villa,8,6,1,Poor,Rent,9461
260,323,183,260,1/19/2023,Office,2,1,3,Good,Rent,3048
261,545,133,261,9/6/2021,Apartment,4,3,1,Good,Sale,254593
262,958,58,262,9/23/2021,House,6,3,3,Good,Sale,996173
263,15,201,263,9/7/2024,Office,4,3,0,Good,Sale,278246
264,39,68,264,11/26/2024,House,6,3,3,Good,Rent,10338
265,442,250,265,8/11/2021,Office,4,3,1,Poor,Rent,1930
266,973,25,266,12/27/2020,Villa,4,4,3,Fair,Rent,7547
267,392,105,267,9/24/2020,Office,2,2,2,Fair,Rent,3066
268,1702,9,268,1/1/2020,Office,5,2,2,Good,Sale,308332
269,1066,201,269,2/9/2023,Villa,6,4,1,Good,Rent,8848
270,1612,122,270,7/2/2023,House,6,2,0,Good,Sale,887126
271,1585,143,271,8/26/2024,Studio,2,1,0,Good,Sale,186230
272,46,165,272,10/22/2024,Villa,6,5,2,Good,Rent,10347
273,1724,202,273,9/8/2024,Office,4,1,2,Good,Sale,279945
274,1302,58,274,4/21/2021,Apartment,3,1,2,Good,Sale,199127
275,1553,239,275,10/22/2020,Apartment,2,1,2,Poor,Sale,177749
276,1508,8,276,2/14/2022,Office,3,2,0,Poor,Rent,1693
277,1257,204,277,1/10/2021,House,4,4,1,Fair,Sale,669486
278,1026,94,278,5/7/2024,Studio,2,1,0,Poor,Sale,120306
279,618,250,279,1/8/2024,Office,5,3,1,Good,Sale,339222
280,412,199,280,1/29/2022,Villa,5,6,0,Good,Rent,13585
281,324,110,281,6/24/2021,Studio,1,1,3,Good,Sale,181309
282,734,224,282,7/20/2020,House,3,4,3,Fair,Sale,497336
283,1593,20,283,12/3/2024,Villa,7,5,3,Good,Rent,16354
284,1216,250,284,12/31/2021,Studio,2,1,1,Fair,Sale,146244
285,1327,20,285,7/8/2024,Office,1,3,2,Fair,Sale,184836
286,1558,58,286,1/15/2021,Studio,2,1,3,Good,Sale,234280
287,1622,94,287,7/19/2022,House,5,4,3,Good,Rent,5102
288,45,151,288,12/21/2020,Apartment,2,2,1,Good,Sale,220275
289,370,151,289,6/18/2020,Studio,2,1,3,Good,Rent,2206
290,1243,33,290,1/19/2022,Studio,1,1,2,Good,Rent,1860
291,1191,8,291,5/22/2021,Office,2,3,2,Fair,Rent,2806
292,474,8,292,10/26/2024,Villa,6,4,1,Fair,Rent,13438
293,578,137,293,8/21/2021,House,4,3,0,Fair,Rent,6816
294,570,38,294,1/29/2020,Villa,7,6,3,Good,Rent,15716
295,318,142,295,7/6/2021,Office,4,3,0,Good,Sale,397443
296,1458,88,296,9/14/2024,Apartment,2,3,2,Good,Sale,198422
297,393,115,297,8/28/2021,Villa,8,4,1,Poor,Sale,988185
298,1653,165,298,11/9/2022,Office,5,1,3,Fair,Sale,387179
299,1523,105,299,7/11/2021,Villa,7,3,3,Fair,Sale,1577828
300,611,10,300,4/16/2021,House,3,4,2,Good,Rent,4096
301,136,163,301,9/16/2021,Villa,5,3,1,Good,Sale,935507
302,570,98,302,6/15/2023,Office,1,3,1,Good,Sale,140169
303,1382,68,303,9/20/2020,Apartment,2,1,0,Good,Sale,177850
304,822,199,304,8/4/2021,House,4,3,2,Fair,Rent,6384
305,85,83,305,7/20/2023,Villa,8,3,0,Fair,Rent,9401
306,105,10,306,5/8/2024,Office,4,2,3,Fair,Rent,3609
307,618,174,307,11/30/2022,Studio,1,1,0,Poor,Rent,1140
308,1482,183,308,6/6/2020,Office,5,2,3,Good,Sale,343956
309,1440,68,309,12/18/2024,Apartment,2,3,3,Good,Sale,165339
310,1135,58,310,5/25/2023,Studio,1,1,2,Fair,Sale,119772
311,1175,68,311,3/7/2024,Villa,6,5,0,Good,Rent,9220
312,977,200,312,7/12/2024,Studio,1,1,0,Good,Sale,159607
313,45,174,313,11/10/2022,House,5,4,0,Good,Rent,9710
314,85,8,314,12/24/2022,House,4,4,0,Fair,Rent,4051
315,1562,239,315,11/9/2024,House,6,4,0,Good,Sale,548319
316,186,58,316,7/29/2022,Studio,2,1,3,Good,Sale,161308
317,1056,164,317,2/18/2024,Villa,6,5,1,Fair,Rent,11992
318,1706,158,318,1/20/2021,Office,1,1,2,Fair,Sale,143504
319,901,166,319,3/4/2023,Apartment,3,2,3,Good,Sale,240703
320,961,68,320,4/26/2021,Villa,4,3,0,Fair,Sale,708241
321,1500,83,321,5/30/2021,House,5,3,0,Good,Rent,5992
322,1431,40,322,1/23/2024,Studio,2,1,1,Fair,Sale,208523
323,1721,238,323,3/4/2023,Office,3,2,3,Good,Sale,254888
324,684,133,324,4/12/2021,Office,5,2,1,Good,Sale,556357
325,710,59,325,6/11/2023,Apartment,3,2,2,Fair,Sale,265048
326,1515,110,326,12/13/2024,Studio,1,1,0,Good,Sale,212795
327,444,143,327,12/28/2022,Villa,6,6,1,Good,Sale,1146520
328,1367,169,328,9/16/2021,House,5,3,0,Fair,Sale,397054
329,787,204,329,6/30/2020,Office,4,3,3,Good,Sale,411869
330,480,10,330,7/11/2020,Office,3,2,1,Fair,Sale,195294
331,1212,88,331,7/17/2024,Villa,7,5,0,Fair,Sale,1146419
332,237,59,332,4/14/2021,House,6,2,3,Good,Rent,5938
333,1180,202,333,11/20/2022,Studio,1,1,2,Good,Rent,2432
334,1748,31,334,3/3/2024,Studio,2,1,1,Fair,Sale,180045
335,1522,137,335,5/4/2022,Office,5,2,1,Poor,Sale,306353
336,1329,137,336,4/22/2020,House,4,3,2,Good,Sale,531660
337,947,98,337,4/18/2020,House,4,3,3,Good,Rent,5181
338,724,166,338,2/10/2021,Villa,7,4,3,Good,Rent,10808
339,1593,204,339,9/26/2020,Villa,7,5,1,Good,Sale,1653187
340,302,204,340,11/19/2022,House,4,4,1,Good,Sale,443986
341,692,133,341,6/21/2020,Office,5,2,3,Fair,Sale,288882
342,317,202,342,2/14/2022,Apartment,2,1,2,Good,Rent,2725
343,1412,25,343,5/10/2023,House,5,4,2,Fair,Sale,498896
344,653,158,344,9/14/2022,Studio,1,1,2,Fair,Sale,129768
345,1232,151,345,2/20/2020,House,3,3,0,Good,Sale,425201
346,1740,76,346,12/17/2021,Office,4,1,1,Fair,Sale,392233
347,112,201,347,9/13/2021,Office,2,2,3,Good,Sale,185308
348,595,170,348,6/7/2020,Studio,1,1,1,Good,Sale,144501
349,612,183,349,7/25/2022,Villa,7,5,0,Good,Rent,10376
350,1210,25,350,1/26/2021,Office,5,2,3,Good,Sale,285070
351,1469,137,351,7/6/2023,Apartment,2,1,0,Good,Sale,173108
352,963,110,352,3/16/2020,Studio,1,1,2,Good,Sale,128926
353,1109,58,353,6/2/2020,Apartment,3,2,2,Good,Sale,226852
354,925,239,354,1/30/2021,Studio,2,1,0,Fair,Rent,2015
355,901,38,355,7/4/2020,Villa,4,4,3,Fair,Sale,942092
356,298,199,356,6/19/2021,Villa,6,4,1,Good,Sale,904894
357,790,142,357,11/29/2024,Studio,1,1,0,Fair,Sale,106592
358,1668,122,358,5/30/2023,Apartment,4,3,3,Fair,Rent,3202
359,889,38,359,4/9/2021,Apartment,2,1,0,Good,Rent,3170
360,1703,238,360,9/2/2021,Studio,2,1,0,Fair,Rent,2062
361,1442,8,361,10/26/2020,Apartment,2,3,3,Good,Rent,3009
362,639,137,362,10/18/2023,House,4,2,3,Good,Sale,628488
363,104,133,363,7/4/2023,Studio,1,1,1,Good,Sale,130417
364,440,88,364,5/29/2022,House,6,4,0,Good,Sale,741764
365,940,110,365,12/5/2022,Studio,2,1,0,Fair,Sale,236530
366,1645,8,366,10/4/2020,Studio,2,1,0,Fair,Sale,157447
367,1608,133,367,3/27/2021,Office,4,2,1,Fair,Sale,355345
368,506,183,368,11/6/2020,Apartment,3,3,3,Fair,Rent,2187
369,226,9,369,3/24/2022,Studio,2,1,2,Good,Sale,242096
370,186,38,370,3/14/2021,House,3,4,0,Poor,Sale,485794
371,94,142,371,4/7/2022,Apartment,3,2,0,Fair,Sale,176480
372,1752,151,372,11/27/2023,Studio,1,1,0,Fair,Sale,109481
373,845,31,373,4/1/2022,Apartment,2,2,1,Fair,Rent,1713
374,905,94,374,6/10/2020,Studio,1,1,1,Fair,Sale,109111
375,402,38,375,5/28/2023,Villa,5,5,1,Fair,Rent,7631
376,631,250,376,11/1/2020,Apartment,3,2,1,Good,Rent,2770
377,1378,88,377,2/15/2021,Villa,6,4,1,Good,Sale,1131402
378,530,105,378,6/29/2021,Office,5,1,1,Good,Rent,5098
379,379,137,379,12/5/2022,Villa,7,4,1,Good,Sale,1319329
380,850,31,380,2/13/2024,Apartment,4,3,1,Good,Sale,258701
381,1073,166,381,1/1/2023,Villa,7,5,1,Fair,Sale,1554663
382,1185,164,382,12/18/2022,House,3,3,3,Fair,Sale,330508
383,131,163,383,4/29/2023,Studio,2,1,3,Poor,Sale,128183
384,1322,223,384,11/28/2022,Studio,2,1,0,Fair,Sale,131427
385,72,59,385,1/28/2024,Villa,4,3,1,Good,Rent,9841
386,1052,59,386,10/20/2024,Apartment,4,3,2,Good,Sale,451522
387,1576,202,387,2/25/2023,House,5,2,3,Fair,Rent,4674
388,358,169,388,2/20/2024,Office,2,2,1,Good,Rent,3426
389,1267,133,389,12/25/2023,Apartment,3,3,0,Good,Rent,2753
390,900,115,390,5/16/2020,Studio,2,1,2,Good,Rent,1817
