maintenance_id,property_id,agent_id,owner_id,description,maintenance_type,cost,maintenance_date
52,33,133,517,Repair Electrical at property,Electrical,5513,12/26/2024
53,33,133,517,Repair Appliances at property,Appliances,4737,12/24/2024
54,34,234,526,Replace Electrical at property,Electrical,432,3/20/2020
55,34,234,526,Repair Cleaning at property,Cleaning,205,5/27/2022
56,34,234,526,Replace Roof at property,Roof,1565,2/25/2022
57,34,234,526,Repair Painting at property,Painting,1869,10/5/2024
58,34,234,526,Repair Plumbing at property,Plumbing,2343,12/22/2022
59,34,234,526,Replace Electrical at property,Electrical,1115,3/9/2023
60,36,58,1641,Replace Electrical at property,Electrical,2179,12/3/2023
61,37,166,912,Install HVAC at property,HVAC,5237,4/2/2024
62,37,166,912,Fix HVAC at property,HVAC,6510,4/24/2022
63,37,166,912,Replace Electrical at property,Electrical,4626,1/2/2024
64,38,201,745,Repair HVAC at property,HVAC,1460,10/18/2024
65,38,201,745,Replace Painting at property,Painting,1320,7/24/2024
66,38,201,745,Install HVAC at property,HVAC,1567,9/3/2024
67,38,201,745,Install Plumbing at property,Plumbing,450,10/16/2024
68,39,9,1732,Install Appliances at property,Appliances,81,8/19/2023
69,39,9,1732,Fix Electrical at property,Electrical,630,12/28/2023
70,39,9,1732,Repair Painting at property,Painting,1306,5/25/2024
71,39,9,1732,Repair Plumbing at property,Plumbing,418,5/28/2024
72,40,164,752,Repair Electrical at property,Electrical,2387,7/27/2024
73,43,166,1310,Install Appliances at property,Appliances,2204,1/6/2022
74,43,166,1310,Replace Painting at property,Painting,205,3/21/2024
75,44,143,742,Repair Cleaning at property,Cleaning,1129,1/28/2023
76,44,143,742,Replace Appliances at property,Appliances,79,4/6/2024
77,45,56,27,Replace HVAC at property,HVAC,634,11/27/2022
78,46,20,455,Replace Plumbing at property,Plumbing,3553,10/8/2024
79,48,25,972,Replace Painting at property,Painting,2271,8/31/2024
80,48,25,972,Repair Electrical at property,Electrical,275,2/8/2024
81,53,166,1723,Fix Painting at property,Painting,251,8/30/2023
82,53,166,1723,Replace Roof at property,Roof,1823,4/6/2024
83,56,115,1004,Replace Cleaning at property,Cleaning,2218,9/3/2021
84,56,115,1004,Fix Plumbing at property,Plumbing,732,5/3/2024
85,56,115,1004,Replace Cleaning at property,Cleaning,2140,5/30/2022
86,56,115,1004,Repair Painting at property,Painting,1261,12/13/2022
87,58,122,255,Repair Electrical at property,Electrical,2192,11/10/2023
88,58,122,255,Replace Electrical at property,Electrical,6312,11/7/2022
89,58,122,255,Replace HVAC at property,HVAC,4376,9/27/2023
90,58,122,255,Fix Roof at property,Roof,1592,10/29/2024
91,58,122,255,Repair Electrical at property,Electrical,1238,6/27/2022
92,58,122,255,Repair Electrical at property,Electrical,2523,11/25/2023
93,59,115,173,Install Roof at property,Roof,1361,12/25/2024
94,61,163,1634,Install Appliances at property,Appliances,3716,5/1/2023
95,61,163,1634,Repair Roof at property,Roof,2376,7/8/2023
96,61,163,1634,Replace Roof at property,Roof,4483,6/20/2023
97,61,163,1634,Install Painting at property,Painting,4344,2/1/2023
98,62,170,1151,Repair Roof at property,Roof,568,6/24/2024
99,62,170,1151,Install Cleaning at property,Cleaning,2358,8/12/2024
100,63,166,189,Fix Electrical at property,Electrical,612,11/25/2024
101,63,166,189,Install Painting at property,Painting,265,8/22/2024
102,64,220,78,Install Painting at property,Painting,2045,12/2/2021
103,64,220,78,Install Painting at property,Painting,2105,3/22/2024
104,64,220,78,Install Roof at property,Roof,647,3/2/2023
105,64,220,78,Fix HVAC at property,HVAC,2155,8/1/2020
106,66,204,592,Repair HVAC at property,HVAC,2132,2/23/2024
107,66,204,592,Fix Cleaning at property,Cleaning,2303,7/3/2022
108,66,204,592,Repair Electrical at property,Electrical,1403,12/28/2023
109,66,204,592,Fix Plumbing at property,Plumbing,1221,12/12/2022
110,66,204,592,Fix Painting at property,Painting,1750,7/13/2023
111,68,143,493,Replace HVAC at property,HVAC,2372,12/4/2024
112,68,143,493,Install HVAC at property,HVAC,1187,11/27/2024
113,68,143,493,Fix Plumbing at property,Plumbing,1371,12/20/2024
114,70,59,465,Install Plumbing at property,Plumbing,642,7/26/2024
115,71,115,332,Install Appliances at property,Appliances,2413,11/24/2022
116,73,238,765,Replace Roof at property,Roof,374,7/27/2024
117,73,238,765,Install Roof at property,Roof,632,5/21/2024
118,73,238,765,Repair Appliances at property,Appliances,668,1/5/2023
119,73,238,765,Repair Painting at property,Painting,200,12/10/2021
120,75,56,1084,Repair Cleaning at property,Cleaning,378,3/22/2023
121,75,56,1084,Install Plumbing at property,Plumbing,1802,3/23/2024
122,78,234,1220,Fix Appliances at property,Appliances,359,11/7/2021
123,80,110,717,Repair HVAC at property,HVAC,1139,3/28/2024
124,80,110,717,Repair Appliances at property,Appliances,1394,3/22/2024
125,81,9,478,Repair HVAC at property,HVAC,1550,3/25/2023
126,82,234,1462,Replace HVAC at property,HVAC,1622,5/30/2024
127,82,234,1462,Fix HVAC at property,HVAC,811,3/5/2024
128,83,115,355,Fix Cleaning at property,Cleaning,463,8/25/2022
129,83,115,355,Fix Electrical at property,Electrical,552,11/17/2022
130,84,238,1083,Repair Electrical at property,Electrical,5928,9/30/2021
131,84,238,1083,Repair Appliances at property,Appliances,5148,4/1/2022
132,84,238,1083,Repair Roof at property,Roof,4968,12/3/2021
133,84,238,1083,Install Plumbing at property,Plumbing,3285,8/31/2024
134,84,238,1083,Install Painting at property,Painting,2269,1/25/2022
135,88,56,259,Install Cleaning at property,Cleaning,2420,12/16/2023
136,89,10,1174,Fix Plumbing at property,Plumbing,468,3/4/2024
137,89,10,1174,Replace Painting at property,Painting,4817,6/16/2024
138,89,10,1174,Install Cleaning at property,Cleaning,6470,1/14/2023
139,91,119,1727,Fix Roof at property,Roof,4169,8/8/2021
140,91,119,1727,Replace Roof at property,Roof,2242,2/5/2023
141,91,119,1727,Fix Plumbing at property,Plumbing,2152,12/28/2023
142,91,119,1727,Install Painting at property,Painting,4753,10/19/2021
143,92,68,904,Fix Cleaning at property,Cleaning,1864,12/3/2024
144,92,68,904,Fix Appliances at property,Appliances,1988,10/12/2024
145,92,68,904,Fix Cleaning at property,Cleaning,922,9/18/2024
146,94,143,1609,Repair Roof at property,Roof,2344,11/27/2023
147,94,143,1609,Repair HVAC at property,HVAC,2129,8/19/2024
148,95,58,60,Fix Electrical at property,Electrical,1971,5/26/2024
149,95,58,60,Fix Appliances at property,Appliances,3414,9/8/2024
150,95,58,60,Repair Electrical at property,Electrical,153,3/19/2024
151,95,58,60,Replace Electrical at property,Electrical,4672,8/21/2024
152,96,164,1444,Repair Painting at property,Painting,1164,11/20/2023
153,96,164,1444,Fix HVAC at property,HVAC,789,3/19/2024
154,97,25,774,Replace Painting at property,Painting,1079,4/30/2021
155,98,163,321,Fix Roof at property,Roof,1320,3/16/2024
156,98,163,321,Install Painting at property,Painting,2385,10/1/2024
157,99,164,280,Install Plumbing at property,Plumbing,6317,10/23/2024
158,99,164,280,Replace Appliances at property,Appliances,243,10/24/2022
159,100,122,218,Replace Cleaning at property,Cleaning,1465,6/25/2024
160,100,122,218,Repair Plumbing at property,Plumbing,52,8/6/2024
161,101,201,29,Replace Painting at property,Painting,184,9/7/2024
162,101,201,29,Repair HVAC at property,HVAC,1505,11/9/2024
163,101,201,29,Fix Appliances at property,Appliances,964,11/26/2024
164,107,142,1020,Fix Painting at property,Painting,1484,8/14/2023
165,107,142,1020,Replace HVAC at property,HVAC,584,11/4/2022
166,107,142,1020,Fix Appliances at property,Appliances,1386,2/15/2023
167,109,105,818,Replace Plumbing at property,Plumbing,72,5/14/2022
168,109,105,818,Fix Plumbing at property,Plumbing,220,9/22/2024
169,111,94,1203,Replace Plumbing at property,Plumbing,1784,7/24/2024
170,112,238,1637,Repair Plumbing at property,Plumbing,2269,9/22/2023
171,112,238,1637,Install Plumbing at property,Plumbing,2050,7/29/2024
172,112,238,1637,Fix Electrical at property,Electrical,1274,6/29/2023
173,113,94,360,Fix Appliances at property,Appliances,678,4/8/2024
174,114,143,608,Repair Painting at property,Painting,931,9/15/2023
175,115,122,169,Replace Roof at property,Roof,2732,11/12/2023
176,115,122,169,Install Electrical at property,Electrical,6018,9/19/2024
177,115,122,169,Fix Electrical at property,Electrical,3130,5/30/2021
178,122,174,122,Repair Painting at property,Painting,1398,3/26/2024
179,122,174,122,Install Appliances at property,Appliances,1320,6/7/2023
180,125,33,1196,Fix Roof at property,Roof,538,2/19/2022
181,125,33,1196,Replace Electrical at property,Electrical,712,4/1/2023
182,126,31,111,Fix HVAC at property,HVAC,2010,12/9/2024
183,126,31,111,Install Roof at property,Roof,1093,11/22/2024
184,130,56,1488,Fix Plumbing at property,Plumbing,1047,2/20/2021
185,132,8,1452,Fix HVAC at property,HVAC,1645,11/16/2024
186,134,178,1435,Repair Cleaning at property,Cleaning,6992,9/29/2023
187,134,178,1435,Install Cleaning at property,Cleaning,5010,7/21/2023
188,135,110,1435,Install HVAC at property,HVAC,2037,2/16/2024
189,135,110,1435,Repair Electrical at property,Electrical,1890,1/11/2022
190,136,76,308,Install Painting at property,Painting,466,1/28/2023
191,137,58,1230,Install Plumbing at property,Plumbing,193,3/16/2022
192,137,58,1230,Fix Appliances at property,Appliances,323,12/4/2022
193,138,40,1233,Fix Appliances at property,Appliances,915,12/16/2023
194,138,40,1233,Repair Electrical at property,Electrical,1891,4/16/2023
195,138,40,1233,Repair Electrical at property,Electrical,1995,12/20/2021
196,140,178,1234,Replace Plumbing at property,Plumbing,2267,12/11/2021
197,142,10,1670,Install Cleaning at property,Cleaning,4674,12/22/2024
198,142,10,1670,Repair HVAC at property,HVAC,6071,8/12/2024
199,143,10,906,Repair Appliances at property,Appliances,1683,11/10/2020
200,143,10,906,Repair Electrical at property,Electrical,1433,7/26/2023
201,144,38,629,Install Plumbing at property,Plumbing,4801,4/24/2024
202,144,38,629,Install Plumbing at property,Plumbing,1020,2/23/2023
203,144,38,629,Fix Painting at property,Painting,6162,11/27/2023
204,146,119,465,Install HVAC at property,HVAC,1761,7/15/2022
205,147,38,563,Install HVAC at property,HVAC,1714,7/1/2023
206,147,38,563,Replace Electrical at property,Electrical,1796,10/23/2022
207,148,174,1173,Install Painting at property,Painting,6877,12/25/2024
208,149,110,1422,Install Roof at property,Roof,1351,12/23/2023
209,150,174,411,Fix Painting at property,Painting,1423,7/17/2023
210,153,110,1684,Install Roof at property,Roof,363,12/26/2024
211,155,88,187,Replace Painting at property,Painting,1432,3/9/2023
212,156,250,199,Replace Appliances at property,Appliances,190,5/6/2021
213,158,59,1399,Replace Roof at property,Roof,364,12/5/2023
214,158,59,1399,Install Electrical at property,Electrical,422,9/2/2024
215,158,59,1399,Repair HVAC at property,HVAC,2073,9/11/2024
216,160,224,1049,Fix Painting at property,Painting,1553,11/1/2022
217,161,165,137,Fix Plumbing at property,Plumbing,3048,9/8/2023
218,161,165,137,Install Plumbing at property,Plumbing,435,9/23/2023
219,163,238,127,Fix Cleaning at property,Cleaning,4719,12/21/2024
220,163,238,127,Install HVAC at property,HVAC,6722,9/3/2024
221,165,83,30,Fix HVAC at property,HVAC,2106,9/29/2022
222,169,115,1335,Replace Cleaning at property,Cleaning,2154,5/24/2023
223,171,169,1077,Fix Roof at property,Roof,2027,7/9/2024
224,171,169,1077,Install HVAC at property,HVAC,2421,7/11/2023
225,172,178,749,Fix HVAC at property,HVAC,1338,9/21/2023
226,173,114,680,Repair Painting at property,Painting,1814,8/14/2023
227,173,114,680,Fix Appliances at property,Appliances,6718,4/13/2022
228,173,114,680,Repair Appliances at property,Appliances,3765,12/14/2022
229,174,234,1489,Fix HVAC at property,HVAC,1944,5/14/2022
230,174,234,1489,Fix HVAC at property,HVAC,2084,9/7/2022
231,174,234,1489,Fix Plumbing at property,Plumbing,1045,10/28/2022
232,176,33,1568,Replace Painting at property,Painting,4628,10/20/2024
233,176,33,1568,Replace Roof at property,Roof,4039,12/17/2024
234,176,33,1568,Repair Painting at property,Painting,735,10/26/2024
235,176,33,1568,Replace Cleaning at property,Cleaning,3656,11/22/2024
236,176,33,1568,Install HVAC at property,HVAC,6050,9/21/2024
237,176,33,1568,Install Appliances at property,Appliances,5323,10/12/2024
238,176,33,1568,Repair Electrical at property,Electrical,1731,11/21/2024
239,179,38,199,Repair Cleaning at property,Cleaning,6480,11/24/2024
240,179,38,199,Install Roof at property,Roof,3887,9/27/2024
241,179,38,199,Replace Electrical at property,Electrical,2884,9/25/2024
242,179,38,199,Install Plumbing at property,Plumbing,5359,9/9/2024
243,179,38,199,Fix Plumbing at property,Plumbing,5934,11/12/2024
244,181,59,889,Fix Cleaning at property,Cleaning,773,10/6/2023
245,182,165,324,Install Painting at property,Painting,2472,5/8/2023
246,182,165,324,Fix Plumbing at property,Plumbing,4246,6/4/2022
247,182,165,324,Install HVAC at property,HVAC,3638,1/25/2023
248,185,115,648,Replace HVAC at property,HVAC,1819,10/18/2024
249,186,40,1532,Install Appliances at property,Appliances,2358,10/23/2024
250,188,83,237,Repair Cleaning at property,Cleaning,75,12/2/2023
251,190,151,876,Fix Plumbing at property,Plumbing,1334,10/17/2024
252,193,174,317,Fix Plumbing at property,Plumbing,2063,8/4/2024
253,195,199,217,Fix Electrical at property,Electrical,1107,7/20/2021
254,198,250,1069,Install Appliances at property,Appliances,2441,9/14/2024
255,200,199,244,Replace Appliances at property,Appliances,295,3/8/2023
256,202,137,1007,Replace Appliances at property,Appliances,801,4/2/2022
257,202,137,1007,Fix Roof at property,Roof,1932,5/29/2024
258,202,137,1007,Install Electrical at property,Electrical,43,3/25/2024
259,202,137,1007,Replace Electrical at property,Electrical,565,7/27/2023
260,203,40,735,Install Appliances at property,Appliances,1490,3/15/2024
261,203,40,735,Install Plumbing at property,Plumbing,79,10/24/2024
262,203,40,735,Repair Roof at property,Roof,2813,7/4/2024
263,203,40,735,Fix HVAC at property,HVAC,415,7/9/2024
264,204,239,517,Replace Roof at property,Roof,985,1/13/2024
265,205,200,496,Install Painting at property,Painting,211,1/24/2024
266,205,200,496,Fix Electrical at property,Electrical,596,4/3/2024
267,205,200,496,Replace HVAC at property,HVAC,299,6/1/2023
268,205,200,496,Repair Cleaning at property,Cleaning,2248,8/17/2021
269,206,223,1482,Repair HVAC at property,HVAC,1724,12/1/2021
270,207,56,1384,Fix Roof at property,Roof,1410,11/20/2023
271,208,238,1427,Fix Painting at property,Painting,1573,6/7/2023
272,208,238,1427,Repair HVAC at property,HVAC,1324,7/1/2022
273,208,238,1427,Replace Plumbing at property,Plumbing,2122,10/28/2023
274,208,238,1427,Replace Plumbing at property,Plumbing,909,10/8/2023
275,210,250,17,Replace Roof at property,Roof,1938,12/2/2023
276,210,250,17,Repair Painting at property,Painting,1124,10/22/2024
277,213,58,1143,Replace HVAC at property,HVAC,1804,1/9/2024
278,213,58,1143,Replace Roof at property,Roof,1595,2/12/2023
279,213,58,1143,Repair Electrical at property,Electrical,1867,11/30/2022
280,215,178,1161,Install Plumbing at property,Plumbing,71,8/14/2024
281,216,143,1280,Fix Appliances at property,Appliances,2477,7/5/2024
282,216,143,1280,Install Roof at property,Roof,592,10/9/2024
283,216,143,1280,Fix Cleaning at property,Cleaning,2115,11/19/2024
284,218,204,1463,Fix Plumbing at property,Plumbing,1963,11/18/2023
285,219,202,401,Repair Cleaning at property,Cleaning,225,12/12/2024
286,221,133,258,Replace HVAC at property,HVAC,3882,2/5/2024
287,221,133,258,Install Cleaning at property,Cleaning,1249,2/3/2024
288,221,133,258,Replace Electrical at property,Electrical,1975,1/31/2024
289,221,133,258,Replace Plumbing at property,Plumbing,4897,8/28/2024
290,222,158,694,Fix Roof at property,Roof,2036,10/15/2023
291,222,158,694,Install Painting at property,Painting,6488,12/24/2023
292,222,158,694,Repair Electrical at property,Electrical,1780,11/29/2023
293,222,158,694,Install Painting at property,Painting,2834,11/15/2024
294,222,158,694,Install Plumbing at property,Plumbing,3603,7/22/2024
295,224,143,119,Replace Electrical at property,Electrical,2139,10/19/2024
296,224,143,119,Install Painting at property,Painting,2298,10/10/2023
297,228,56,1277,Repair Painting at property,Painting,940,9/4/2024
298,228,56,1277,Fix Painting at property,Painting,33,11/11/2024
299,228,56,1277,Repair Cleaning at property,Cleaning,1516,11/12/2024
300,228,56,1277,Repair Cleaning at property,Cleaning,1284,12/7/2024
301,229,223,639,Replace Appliances at property,Appliances,2544,5/30/2024
302,229,223,639,Fix Painting at property,Painting,4976,11/17/2024
303,229,223,639,Replace Cleaning at property,Cleaning,6622,2/7/2024
304,229,223,639,Replace HVAC at property,HVAC,1443,8/1/2024
305,229,223,639,Replace Electrical at property,Electrical,5533,11/2/2023
306,229,223,639,Replace HVAC at property,HVAC,5719,6/10/2023
307,229,223,639,Install Painting at property,Painting,2073,12/3/2024
308,230,250,711,Fix Plumbing at property,Plumbing,232,12/31/2022
309,231,174,348,Replace Cleaning at property,Cleaning,1211,9/20/2024
310,231,174,348,Repair Roof at property,Roof,1510,5/16/2024
311,231,174,348,Repair HVAC at property,HVAC,2436,9/11/2024
312,231,174,348,Install Electrical at property,Electrical,1031,6/12/2024
313,232,133,1034,Fix Electrical at property,Electrical,1983,12/18/2024
314,233,201,1570,Fix HVAC at property,HVAC,60,7/11/2024
315,234,250,135,Replace Cleaning at property,Cleaning,1092,12/25/2022
316,234,250,135,Replace Appliances at property,Appliances,651,8/10/2022
317,235,163,1622,Fix Roof at property,Roof,1209,12/6/2021
318,236,183,1479,Fix Cleaning at property,Cleaning,6246,6/18/2023
319,236,183,1479,Repair Roof at property,Roof,5516,10/4/2022
320,236,183,1479,Repair Plumbing at property,Plumbing,674,4/1/2023
321,236,183,1479,Repair Plumbing at property,Plumbing,192,8/18/2024
322,236,183,1479,Replace Appliances at property,Appliances,1685,11/20/2023
323,240,178,212,Repair HVAC at property,HVAC,1779,1/21/2023
324,240,178,212,Fix Roof at property,Roof,530,12/10/2024
325,241,83,1631,Install Appliances at property,Appliances,424,1/13/2022
326,242,31,1307,Repair Appliances at property,Appliances,5435,9/3/2023
327,242,31,1307,Install Appliances at property,Appliances,2672,10/29/2024
328,242,31,1307,Replace HVAC at property,HVAC,2504,3/30/2024
329,243,88,1590,Install HVAC at property,HVAC,1850,12/20/2023
330,243,88,1590,Repair Appliances at property,Appliances,242,8/16/2024
331,244,40,1354,Fix Appliances at property,Appliances,291,10/12/2024
332,244,40,1354,Repair HVAC at property,HVAC,394,10/7/2024
333,244,40,1354,Install Painting at property,Painting,2180,11/27/2024
334,245,58,1710,Replace Electrical at property,Electrical,713,11/19/2022
335,246,169,69,Replace HVAC at property,HVAC,2137,9/9/2022
336,250,76,1544,Repair HVAC at property,HVAC,1742,9/24/2022
337,250,76,1544,Fix HVAC at property,HVAC,89,4/7/2023
338,251,204,838,Fix Plumbing at property,Plumbing,364,10/10/2024
339,251,204,838,Install Roof at property,Roof,2192,3/27/2024
340,253,178,1472,Install Electrical at property,Electrical,150,6/3/2024
341,253,178,1472,Replace Roof at property,Roof,991,10/20/2024
342,255,204,1150,Repair Painting at property,Painting,2517,6/23/2020
343,255,204,1150,Fix Electrical at property,Electrical,2201,11/17/2022
344,255,204,1150,Install Electrical at property,Electrical,4812,1/13/2022
345,255,204,1150,Fix Plumbing at property,Plumbing,3837,10/21/2020
346,256,8,406,Install Roof at property,Roof,249,12/20/2024
347,258,142,142,Replace Electrical at property,Electrical,5911,8/21/2023
348,258,142,142,Install Cleaning at property,Cleaning,5238,12/23/2022
349,258,142,142,Fix Electrical at property,Electrical,3105,2/16/2024
350,258,142,142,Fix Appliances at property,Appliances,802,9/3/2022
351,259,68,333,Replace Plumbing at property,Plumbing,2525,11/24/2024
352,259,68,333,Install Painting at property,Painting,1366,3/24/2024
353,259,68,333,Repair Plumbing at property,Plumbing,5891,6/18/2024
354,259,68,333,Fix Cleaning at property,Cleaning,4260,4/1/2024
355,260,183,323,Fix Roof at property,Roof,29,9/11/2024
356,262,58,958,Install Plumbing at property,Plumbing,1594,4/28/2022
357,262,58,958,Repair HVAC at property,HVAC,49,2/5/2024
358,263,201,15,Replace HVAC at property,HVAC,2402,12/8/2024
359,264,68,39,Replace Plumbing at property,Plumbing,499,12/19/2024
360,264,68,39,Fix Roof at property,Roof,186,11/29/2024
361,265,250,442,Repair Roof at property,Roof,1727,9/28/2023
362,265,250,442,Repair Appliances at property,Appliances,3909,10/15/2022
363,265,250,442,Repair Painting at property,Painting,6268,1/8/2023
364,265,250,442,Replace Roof at property,Roof,4935,11/27/2023
365,265,250,442,Fix Electrical at property,Electrical,4485,4/18/2023
366,265,250,442,Replace Cleaning at property,Cleaning,4181,12/22/2024
367,266,25,973,Fix Appliances at property,Appliances,1191,8/28/2024
368,266,25,973,Repair Appliances at property,Appliances,22,2/12/2023
369,266,25,973,Install Electrical at property,Electrical,948,7/28/2021
370,267,105,392,Replace Painting at property,Painting,674,1/3/2021
371,267,105,392,Repair HVAC at property,HVAC,1388,8/25/2023
372,267,105,392,Replace Electrical at property,Electrical,1175,6/30/2023
373,270,122,1612,Replace Electrical at property,Electrical,482,3/12/2024
374,270,122,1612,Repair Plumbing at property,Plumbing,640,11/5/2024
375,271,143,1585,Install Roof at property,Roof,958,10/5/2024
376,272,165,46,Fix Electrical at property,Electrical,2424,11/6/2024
377,272,165,46,Replace Appliances at property,Appliances,1125,11/25/2024
378,274,58,1302,Repair Plumbing at property,Plumbing,1888,8/11/2024
379,275,239,1553,Replace HVAC at property,HVAC,2933,4/25/2023
380,275,239,1553,Repair Painting at property,Painting,1995,3/22/2023
381,275,239,1553,Install Plumbing at property,Plumbing,4896,6/26/2022
382,275,239,1553,Replace Electrical at property,Electrical,82,1/1/2024
383,276,8,1508,Repair HVAC at property,HVAC,5410,3/6/2022
384,276,8,1508,Replace HVAC at property,HVAC,5386,7/4/2024
385,277,204,1257,Install Roof at property,Roof,1445,9/24/2022
386,277,204,1257,Install Appliances at property,Appliances,1024,9/19/2023
387,278,94,1026,Repair Appliances at property,Appliances,3054,5/27/2024
388,278,94,1026,Replace Plumbing at property,Plumbing,1347,11/4/2024
389,278,94,1026,Repair Cleaning at property,Cleaning,4105,12/25/2024
390,278,94,1026,Replace Roof at property,Roof,3623,11/17/2024
391,278,94,1026,Install Roof at property,Roof,6755,9/8/2024
392,278,94,1026,Replace Appliances at property,Appliances,4477,10/12/2024
393,278,94,1026,Repair Appliances at property,Appliances,153,11/15/2024
394,278,94,1026,Replace Cleaning at property,Cleaning,1622,11/13/2024
395,278,94,1026,Install Plumbing at property,Plumbing,1038,11/15/2024
396,279,250,618,Fix Appliances at property,Appliances,911,8/27/2024
397,279,250,618,Repair Roof at property,Roof,871,7/12/2024
398,280,199,412,Replace Cleaning at property,Cleaning,1525,4/5/2022
399,282,224,734,Replace Cleaning at property,Cleaning,356,11/7/2023
400,283,20,1593,Install Plumbing at property,Plumbing,1988,12/11/2024
401,285,20,1327,Fix HVAC at property,HVAC,431,7/25/2024
402,285,20,1327,Fix Plumbing at property,Plumbing,650,11/1/2024
403,291,8,1191,Repair Painting at property,Painting,789,5/24/2021
404,291,8,1191,Replace Roof at property,Roof,146,8/8/2022
405,291,8,1191,Install Painting at property,Painting,1174,12/14/2021
406,291,8,1191,Fix Cleaning at property,Cleaning,181,10/3/2023
407,291,8,1191,Fix Cleaning at property,Cleaning,997,9/10/2022
408,291,8,1191,Replace Painting at property,Painting,174,5/25/2023
409,292,8,474,Repair Plumbing at property,Plumbing,1183,12/21/2024
410,292,8,474,Fix HVAC at property,HVAC,980,12/8/2024
411,293,137,578,Fix HVAC at property,HVAC,2488,4/4/2023
412,295,142,318,Repair Cleaning at property,Cleaning,2375,5/22/2023
413,297,115,393,Fix HVAC at property,HVAC,3507,9/6/2022
414,297,115,393,Fix Appliances at property,Appliances,674,11/1/2024
415,297,115,393,Replace Painting at property,Painting,1921,6/20/2023
416,297,115,393,Fix HVAC at property,HVAC,3683,9/6/2021
417,298,165,1653,Fix HVAC at property,HVAC,332,9/17/2023
418,298,165,1653,Replace Roof at property,Roof,868,12/5/2022
419,298,165,1653,Replace Cleaning at property,Cleaning,2446,4/20/2024
420,299,105,1523,Fix Plumbing at property,Plumbing,2500,9/26/2024
421,299,105,1523,Replace Plumbing at property,Plumbing,72,4/13/2022
422,299,105,1523,Fix Appliances at property,Appliances,543,11/9/2022
423,302,98,570,Repair Roof at property,Roof,627,2/7/2024
