rent_id,agreement_date,rent_start_date,rent_end_date,terms
49,2024-08-24,2024-08-27,2026-07-18,Lease agreement for Studio in IL for 23 months. Condition: Good.
50,2024-12-31,2025-01-18,2026-09-10,Lease agreement for Studio in IL for 20 months. Condition: Good.
51,2024-12-31,2025-01-02,2025-11-28,Lease agreement for Studio in IL for 11 months. Condition: Good.
52,2024-10-20,2024-11-16,2027-07-04,Lease agreement for Apartment in FL for 32 months. Condition: Good.
53,2024-12-31,2025-01-22,2028-01-07,Lease agreement for Apartment in FL for 36 months. Condition: Good.
54,2022-06-14,2022-07-03,2022-12-30,Lease agreement for House in CA for 6 months. Condition: Fair.
55,2024-02-25,2024-03-08,2024-09-04,Lease agreement for Office in TX for 6 months. Condition: Good.
56,2024-09-21,2024-10-04,2025-10-29,Lease agreement for Office in TX for 13 months. Condition: Good.
57,2024-12-31,2025-01-23,2027-01-13,Lease agreement for Office in TX for 24 months. Condition: Good.
58,2022-11-19,2022-12-07,2023-07-05,Lease agreement for Villa in CA for 7 months. Condition: Good.
59,2022-07-25,2022-08-16,2023-05-13,Lease agreement for Studio in TX for 9 months. Condition: Good.
60,2023-09-03,2023-10-01,2025-01-23,Lease agreement for Apartment in FL for 16 months. Condition: Good.
61,2024-12-31,2025-01-11,2027-09-28,Lease agreement for Apartment in FL for 33 months. Condition: Good.
62,2022-08-24,2022-08-29,2024-10-17,Lease agreement for Office in IL for 26 months. Condition: Good.
63,2024-12-17,2025-01-05,2027-03-26,Lease agreement for Office in IL for 27 months. Condition: Good.
64,2024-12-31,2025-01-26,2027-05-16,Lease agreement for Office in IL for 28 months. Condition: Good.
65,2023-02-26,2023-03-16,2023-09-12,Lease agreement for Office in CA for 6 months. Condition: Poor.
66,2024-12-20,2025-01-19,2027-09-06,Lease agreement for Office in CA for 32 months. Condition: Poor.
67,2023-09-24,2023-09-29,2024-10-23,Lease agreement for Apartment in FL for 13 months. Condition: Good.
68,2024-11-11,2024-11-15,2026-08-07,Lease agreement for Apartment in FL for 21 months. Condition: Good.
69,2024-12-31,2025-01-10,2026-03-06,Lease agreement for Apartment in FL for 14 months. Condition: Good.
70,2023-03-08,2023-04-01,2024-05-25,Lease agreement for Apartment in IL for 14 months. Condition: Poor.
71,2024-09-19,2024-10-11,2026-10-31,Lease agreement for Apartment in IL for 25 months. Condition: Poor.
72,2024-12-31,2025-01-17,2025-10-14,Lease agreement for Apartment in IL for 9 months. Condition: Poor.
73,2024-06-26,2024-06-30,2026-11-17,Lease agreement for Studio in CA for 29 months. Condition: Fair.
74,2023-09-17,2023-10-05,2024-07-01,Lease agreement for Apartment in IL for 9 months. Condition: Fair.
75,2024-11-17,2024-12-04,2027-05-23,Lease agreement for Apartment in IL for 30 months. Condition: Fair.
76,2024-12-31,2025-01-27,2025-10-24,Lease agreement for Apartment in IL for 9 months. Condition: Fair.
77,2024-05-20,2024-06-03,2024-11-30,Lease agreement for Studio in IL for 6 months. Condition: Good.
78,2024-12-07,2024-12-28,2026-08-20,Lease agreement for House in NY for 20 months. Condition: Fair.
79,2024-12-31,2025-01-14,2025-10-11,Lease agreement for House in NY for 9 months. Condition: Fair.
80,2024-08-25,2024-09-19,2027-07-06,Lease agreement for Apartment in CA for 34 months. Condition: Good.
81,2020-06-30,2020-07-18,2021-09-11,Lease agreement for Studio in FL for 14 months. Condition: Good.
82,2024-04-10,2024-05-03,2024-12-29,Lease agreement for Studio in FL for 8 months. Condition: Good.
83,2024-12-30,2025-01-11,2026-08-04,Lease agreement for Studio in FL for 19 months. Condition: Good.
84,2023-12-08,2024-01-04,2026-03-24,Lease agreement for House in CA for 27 months. Condition: Good.
85,2024-12-31,2025-01-11,2026-06-05,Lease agreement for House in CA for 17 months. Condition: Good.
86,2024-12-31,2025-01-04,2026-08-27,Lease agreement for House in CA for 20 months. Condition: Good.
87,2024-11-28,2024-12-22,2025-06-20,Lease agreement for Office in CA for 6 months. Condition: Poor.
88,2024-12-31,2025-01-25,2028-01-10,Lease agreement for Office in CA for 36 months. Condition: Poor.
89,2024-12-31,2025-01-22,2027-03-13,Lease agreement for Office in CA for 26 months. Condition: Poor.
90,2024-12-05,2024-12-16,2027-03-06,Lease agreement for House in NY for 27 months. Condition: Good.
91,2024-12-31,2025-01-20,2026-03-16,Lease agreement for House in NY for 14 months. Condition: Good.
92,2024-12-31,2025-01-02,2027-05-22,Lease agreement for House in NY for 29 months. Condition: Good.
93,2023-11-07,2023-11-08,2025-09-28,Lease agreement for Studio in FL for 23 months. Condition: Good.
94,2024-12-31,2025-01-06,2026-01-31,Lease agreement for Studio in FL for 13 months. Condition: Good.
95,2024-12-31,2025-01-27,2028-01-12,Lease agreement for Studio in FL for 36 months. Condition: Good.
96,2023-04-28,2023-05-17,2024-11-07,Lease agreement for Studio in IL for 18 months. Condition: Fair.
97,2024-12-17,2025-01-04,2026-07-28,Lease agreement for Studio in IL for 19 months. Condition: Fair.
98,2024-12-14,2024-12-17,2026-07-10,Lease agreement for Office in FL for 19 months. Condition: Good.
99,2024-12-31,2025-01-18,2026-11-09,Lease agreement for Office in FL for 22 months. Condition: Good.
100,2024-12-31,2025-01-20,2027-09-07,Lease agreement for Office in FL for 32 months. Condition: Good.
101,2021-09-07,2021-09-29,2023-05-22,Lease agreement for Villa in CA for 20 months. Condition: Good.
102,2023-05-10,2023-06-08,2025-06-27,Lease agreement for Office in TX for 25 months. Condition: Good.
103,2024-12-31,2025-01-02,2026-01-27,Lease agreement for Office in TX for 13 months. Condition: Good.
104,2024-12-31,2025-01-17,2026-01-12,Lease agreement for Office in TX for 12 months. Condition: Good.
105,2023-06-16,2023-07-08,2025-10-25,Lease agreement for Apartment in FL for 28 months. Condition: Good.
106,2024-12-31,2025-01-02,2026-09-24,Lease agreement for Apartment in FL for 21 months. Condition: Good.
107,2021-11-07,2021-11-28,2023-04-22,Lease agreement for Studio in CA for 17 months. Condition: Good.
108,2024-03-22,2024-03-26,2027-03-11,Lease agreement for Studio in CA for 36 months. Condition: Good.
109,2024-12-31,2025-01-24,2028-01-09,Lease agreement for Studio in CA for 36 months. Condition: Good.
110,2024-09-07,2024-09-28,2026-06-20,Lease agreement for House in TX for 21 months. Condition: Good.
111,2022-02-10,2022-02-28,2024-10-15,Lease agreement for Office in FL for 32 months. Condition: Fair.
112,2024-10-30,2024-11-23,2026-04-17,Lease agreement for Office in FL for 17 months. Condition: Fair.
113,2022-12-16,2022-12-31,2023-09-27,Lease agreement for Studio in CA for 9 months. Condition: Good.
114,2024-06-12,2024-06-29,2025-10-22,Lease agreement for Studio in CA for 16 months. Condition: Good.
115,2024-12-31,2025-01-20,2026-12-11,Lease agreement for Studio in CA for 23 months. Condition: Good.
116,2023-09-23,2023-09-26,2026-03-14,Lease agreement for Studio in FL for 30 months. Condition: Good.
117,2024-12-31,2025-01-02,2026-12-23,Lease agreement for Studio in FL for 24 months. Condition: Good.
118,2024-12-31,2025-01-25,2025-08-23,Lease agreement for Studio in FL for 7 months. Condition: Good.
119,2024-08-18,2024-08-21,2026-02-12,Lease agreement for House in TX for 18 months. Condition: Good.
120,2024-12-31,2025-01-07,2026-01-02,Lease agreement for House in TX for 12 months. Condition: Good.
121,2024-12-31,2025-01-26,2027-02-15,Lease agreement for House in TX for 25 months. Condition: Good.
122,2023-11-07,2023-11-29,2025-08-20,Lease agreement for Apartment in TX for 21 months. Condition: Good.
123,2023-03-19,2023-04-18,2025-07-06,Lease agreement for Villa in CA for 27 months. Condition: Good.
124,2024-12-31,2025-01-07,2026-11-28,Lease agreement for Villa in CA for 23 months. Condition: Good.
125,2024-12-31,2025-01-21,2026-03-17,Lease agreement for Villa in CA for 14 months. Condition: Good.
126,2024-12-16,2025-01-01,2027-06-20,Lease agreement for Office in CA for 30 months. Condition: Good.
127,2024-12-31,2025-01-07,2027-03-28,Lease agreement for Office in CA for 27 months. Condition: Good.
128,2024-04-02,2024-04-16,2027-04-01,Lease agreement for Office in TX for 36 months. Condition: Good.
129,2024-12-31,2025-01-27,2026-09-19,Lease agreement for Office in TX for 20 months. Condition: Good.
130,2024-12-31,2025-01-11,2026-02-05,Lease agreement for Office in TX for 13 months. Condition: Good.
131,2022-12-21,2023-01-02,2023-11-28,Lease agreement for House in NY for 11 months. Condition: Good.
132,2024-12-30,2025-01-15,2025-10-12,Lease agreement for House in NY for 9 months. Condition: Good.
133,2024-12-31,2025-01-24,2026-10-16,Lease agreement for House in NY for 21 months. Condition: Good.
134,2024-12-05,2024-12-22,2026-06-15,Lease agreement for House in FL for 18 months. Condition: Poor.
135,2024-06-14,2024-06-28,2027-03-15,Lease agreement for Office in IL for 33 months. Condition: Good.
136,2024-11-01,2024-11-14,2026-02-07,Lease agreement for Office in NY for 15 months. Condition: Good.
137,2024-12-31,2025-01-25,2025-08-23,Lease agreement for Office in NY for 7 months. Condition: Good.
138,2024-10-10,2024-10-23,2025-08-19,Lease agreement for Office in TX for 10 months. Condition: Fair.
139,2024-12-31,2025-01-15,2027-12-01,Lease agreement for Office in TX for 35 months. Condition: Fair.
140,2024-12-12,2024-12-20,2025-09-16,Lease agreement for Studio in FL for 9 months. Condition: Good.
141,2024-12-31,2025-01-28,2026-02-22,Lease agreement for Studio in FL for 13 months. Condition: Good.
142,2024-12-31,2025-01-27,2026-03-23,Lease agreement for Studio in FL for 14 months. Condition: Good.
143,2024-07-16,2024-07-23,2026-12-10,Lease agreement for Apartment in FL for 29 months. Condition: Fair.
144,2024-12-31,2025-01-15,2027-01-05,Lease agreement for Apartment in FL for 24 months. Condition: Fair.
145,2024-12-31,2025-01-20,2027-05-10,Lease agreement for Apartment in FL for 28 months. Condition: Fair.
146,2023-05-04,2023-05-17,2025-02-05,Lease agreement for House in IL for 21 months. Condition: Fair.
147,2024-12-31,2025-01-10,2026-12-31,Lease agreement for House in IL for 24 months. Condition: Fair.
148,2024-05-03,2024-05-29,2024-11-25,Lease agreement for House in CA for 6 months. Condition: Good.
149,2024-12-04,2024-12-08,2027-07-26,Lease agreement for House in CA for 32 months. Condition: Good.
150,2022-12-08,2022-12-22,2023-10-18,Lease agreement for Studio in TX for 10 months. Condition: Good.
151,2024-02-11,2024-02-13,2026-08-01,Lease agreement for Studio in TX for 30 months. Condition: Good.
152,2024-12-31,2025-01-05,2026-11-26,Lease agreement for Studio in TX for 23 months. Condition: Good.
153,2024-12-21,2024-12-24,2027-10-10,Lease agreement for Studio in TX for 34 months. Condition: Good.
154,2024-12-31,2025-01-16,2027-09-03,Lease agreement for Studio in TX for 32 months. Condition: Good.
155,2024-05-06,2024-05-24,2024-11-20,Lease agreement for Studio in FL for 6 months. Condition: Good.
156,2024-12-10,2024-12-11,2025-06-09,Lease agreement for Studio in FL for 6 months. Condition: Good.
157,2024-12-31,2025-01-03,2026-06-27,Lease agreement for Studio in FL for 18 months. Condition: Good.
158,2024-05-07,2024-05-17,2026-12-03,Lease agreement for House in IL for 31 months. Condition: Good.
159,2024-12-31,2025-01-10,2026-12-31,Lease agreement for House in IL for 24 months. Condition: Good.
160,2023-09-02,2023-09-05,2025-11-23,Lease agreement for Apartment in TX for 27 months. Condition: Fair.
161,2024-12-31,2025-01-11,2025-09-08,Lease agreement for Apartment in TX for 8 months. Condition: Fair.
162,2024-12-31,2025-01-18,2026-04-13,Lease agreement for Apartment in TX for 15 months. Condition: Fair.
163,2024-02-28,2024-03-14,2026-06-02,Lease agreement for Apartment in CA for 27 months. Condition: Good.
164,2024-10-25,2024-11-13,2025-07-11,Lease agreement for House in NY for 8 months. Condition: Good.
165,2023-03-22,2023-03-27,2024-09-17,Lease agreement for Office in NY for 18 months. Condition: Poor.
166,2024-09-30,2024-10-03,2026-08-24,Lease agreement for Office in NY for 23 months. Condition: Poor.
167,2021-01-29,2021-02-01,2022-03-28,Lease agreement for Studio in TX for 14 months. Condition: Good.
168,2024-06-27,2024-07-12,2026-12-29,Lease agreement for Office in CA for 30 months. Condition: Fair.
169,2023-01-02,2023-01-15,2024-04-09,Lease agreement for Apartment in FL for 15 months. Condition: Good.
170,2024-07-20,2024-08-15,2026-08-05,Lease agreement for Apartment in FL for 24 months. Condition: Good.
171,2024-12-31,2025-01-26,2027-08-14,Lease agreement for Apartment in FL for 31 months. Condition: Good.
172,2024-01-23,2024-02-12,2025-09-04,Lease agreement for Apartment in FL for 19 months. Condition: Good.
173,2024-12-31,2025-01-28,2026-12-19,Lease agreement for Apartment in FL for 23 months. Condition: Good.
174,2023-11-16,2023-12-05,2026-11-19,Lease agreement for House in NY for 36 months. Condition: Good.
175,2024-12-31,2025-01-05,2026-09-27,Lease agreement for House in NY for 21 months. Condition: Good.
176,2024-12-31,2025-01-04,2026-09-26,Lease agreement for House in NY for 21 months. Condition: Good.
177,2024-11-15,2024-11-17,2027-02-05,Lease agreement for Studio in FL for 27 months. Condition: Fair.
178,2024-12-31,2025-01-07,2025-10-04,Lease agreement for Studio in FL for 9 months. Condition: Fair.
179,2024-12-31,2025-01-25,2027-12-11,Lease agreement for Studio in FL for 35 months. Condition: Fair.
180,2022-11-21,2022-12-05,2025-07-22,Lease agreement for Villa in CA for 32 months. Condition: Good.
181,2024-12-28,2025-01-07,2026-09-29,Lease agreement for Apartment in FL for 21 months. Condition: Fair.
182,2024-12-17,2024-12-26,2027-04-15,Lease agreement for Studio in TX for 28 months. Condition: Good.
183,2024-12-31,2025-01-27,2026-12-18,Lease agreement for Studio in TX for 23 months. Condition: Good.
184,2024-12-31,2025-01-18,2028-01-03,Lease agreement for Studio in TX for 36 months. Condition: Good.
185,2024-04-10,2024-04-15,2025-11-06,Lease agreement for Villa in NY for 19 months. Condition: Good.
186,2024-12-31,2025-01-26,2027-10-13,Lease agreement for Villa in NY for 33 months. Condition: Good.
187,2024-05-09,2024-05-27,2026-10-14,Lease agreement for Studio in NY for 29 months. Condition: Good.
188,2024-12-31,2025-01-15,2026-02-09,Lease agreement for Studio in NY for 13 months. Condition: Good.
189,2023-08-11,2023-08-15,2025-07-05,Lease agreement for House in FL for 23 months. Condition: Fair.
190,2024-12-31,2025-01-23,2028-01-08,Lease agreement for House in FL for 36 months. Condition: Fair.
191,2024-05-31,2024-06-10,2026-05-31,Lease agreement for Apartment in TX for 24 months. Condition: Fair.
192,2024-12-31,2025-01-16,2026-01-11,Lease agreement for Apartment in TX for 12 months. Condition: Fair.
193,2024-05-01,2024-05-06,2025-08-29,Lease agreement for Studio in TX for 16 months. Condition: Good.
194,2023-03-04,2023-03-15,2024-05-08,Lease agreement for House in NY for 14 months. Condition: Good.
195,2024-10-11,2024-10-29,2025-07-26,Lease agreement for House in NY for 9 months. Condition: Good.
196,2024-09-20,2024-09-30,2026-04-23,Lease agreement for Villa in FL for 19 months. Condition: Fair.
197,2024-05-06,2024-05-16,2026-07-05,Lease agreement for Villa in CA for 26 months. Condition: Good.
198,2023-10-14,2023-11-07,2026-02-24,Lease agreement for Studio in CA for 28 months. Condition: Good.
199,2024-12-31,2025-01-18,2027-10-05,Lease agreement for Studio in CA for 33 months. Condition: Good.
200,2020-09-13,2020-10-01,2021-06-28,Lease agreement for House in NY for 9 months. Condition: Fair.
201,2022-06-21,2022-07-14,2023-07-09,Lease agreement for House in CA for 12 months. Condition: Good.
202,2024-12-10,2025-01-05,2026-04-30,Lease agreement for House in CA for 16 months. Condition: Good.
203,2024-12-31,2025-01-19,2027-01-09,Lease agreement for House in CA for 24 months. Condition: Good.
204,2024-02-20,2024-03-08,2025-07-31,Lease agreement for Villa in NY for 17 months. Condition: Good.
205,2024-12-31,2025-01-26,2028-01-11,Lease agreement for Villa in NY for 36 months. Condition: Good.
206,2024-07-17,2024-07-23,2026-08-12,Lease agreement for Villa in NY for 25 months. Condition: Fair.
207,2024-12-31,2025-01-21,2028-01-06,Lease agreement for Villa in NY for 36 months. Condition: Fair.
208,2024-12-31,2025-01-03,2027-03-24,Lease agreement for Villa in NY for 27 months. Condition: Fair.
209,2022-08-13,2022-08-17,2023-05-14,Lease agreement for Studio in NY for 9 months. Condition: Good.
210,2022-01-05,2022-01-15,2022-07-14,Lease agreement for House in CA for 6 months. Condition: Good.
211,2023-05-30,2023-05-31,2024-05-25,Lease agreement for Studio in IL for 12 months. Condition: Fair.
212,2024-12-09,2024-12-30,2027-04-19,Lease agreement for Studio in IL for 28 months. Condition: Fair.
213,2024-12-31,2025-01-05,2027-02-24,Lease agreement for Studio in IL for 26 months. Condition: Fair.
214,2024-11-20,2024-12-19,2027-03-09,Lease agreement for House in TX for 27 months. Condition: Good.
215,2024-12-12,2025-01-02,2027-06-21,Lease agreement for Office in NY for 30 months. Condition: Fair.
216,2024-12-31,2025-01-11,2027-01-01,Lease agreement for Office in NY for 24 months. Condition: Fair.
217,2024-01-29,2024-02-02,2027-01-17,Lease agreement for House in IL for 36 months. Condition: Good.
218,2024-12-31,2025-01-09,2026-10-01,Lease agreement for House in IL for 21 months. Condition: Good.
219,2024-08-24,2024-09-20,2026-01-13,Lease agreement for Studio in NY for 16 months. Condition: Good.
220,2024-06-23,2024-07-04,2026-04-25,Lease agreement for Studio in FL for 22 months. Condition: Fair.
221,2024-12-25,2025-01-08,2025-08-06,Lease agreement for Villa in FL for 7 months. Condition: Good.
222,2024-12-31,2025-01-26,2025-11-22,Lease agreement for Villa in FL for 10 months. Condition: Good.
223,2024-10-25,2024-10-30,2025-04-28,Lease agreement for House in IL for 6 months. Condition: Good.
224,2024-12-31,2025-01-05,2026-11-26,Lease agreement for House in IL for 23 months. Condition: Good.
225,2024-12-31,2025-01-08,2026-10-30,Lease agreement for House in IL for 22 months. Condition: Good.
226,2024-02-09,2024-03-08,2025-07-01,Lease agreement for Apartment in CA for 16 months. Condition: Good.
227,2024-12-31,2025-01-27,2027-04-17,Lease agreement for Apartment in CA for 27 months. Condition: Good.
228,2023-02-20,2023-03-16,2024-08-07,Lease agreement for Apartment in IL for 17 months. Condition: Poor.
229,2024-09-07,2024-10-03,2025-10-28,Lease agreement for Apartment in IL for 13 months. Condition: Poor.
230,2024-12-31,2025-01-26,2026-09-18,Lease agreement for Apartment in IL for 20 months. Condition: Poor.
231,2024-11-16,2024-12-16,2025-08-13,Lease agreement for Apartment in FL for 8 months. Condition: Good.
232,2024-12-31,2025-01-21,2026-03-17,Lease agreement for Apartment in FL for 14 months. Condition: Good.
233,2024-12-31,2025-01-04,2025-10-01,Lease agreement for Apartment in FL for 9 months. Condition: Good.
234,2023-11-14,2023-12-08,2025-07-30,Lease agreement for House in IL for 20 months. Condition: Fair.
235,2024-12-31,2025-01-15,2027-07-04,Lease agreement for House in IL for 30 months. Condition: Fair.
236,2024-12-31,2025-01-29,2025-09-26,Lease agreement for House in IL for 8 months. Condition: Fair.
237,2024-12-21,2025-01-10,2025-11-06,Lease agreement for Office in CA for 10 months. Condition: Fair.
238,2024-12-31,2025-01-21,2027-08-09,Lease agreement for Office in CA for 31 months. Condition: Fair.
239,2024-09-25,2024-10-19,2026-11-08,Lease agreement for Villa in TX for 25 months. Condition: Poor.
240,2022-03-12,2022-03-24,2024-11-08,Lease agreement for House in IL for 32 months. Condition: Good.
241,2023-07-10,2023-07-18,2026-01-03,Lease agreement for House in NY for 30 months. Condition: Good.
242,2022-12-22,2023-01-03,2024-03-28,Lease agreement for Office in CA for 15 months. Condition: Fair.
243,2024-08-18,2024-08-26,2027-04-13,Lease agreement for Office in CA for 32 months. Condition: Fair.
244,2024-11-05,2024-11-26,2025-07-24,Lease agreement for Apartment in CA for 8 months. Condition: Fair.
245,2024-12-31,2025-01-09,2027-03-30,Lease agreement for Apartment in CA for 27 months. Condition: Fair.
246,2024-12-31,2025-01-23,2027-03-14,Lease agreement for Apartment in CA for 26 months. Condition: Fair.
247,2021-12-23,2022-01-11,2024-01-01,Lease agreement for Apartment in CA for 24 months. Condition: Good.
248,2024-08-28,2024-09-13,2026-09-03,Lease agreement for Apartment in CA for 24 months. Condition: Good.
249,2023-05-26,2023-05-30,2025-10-16,Lease agreement for House in FL for 29 months. Condition: Fair.
250,2024-12-31,2025-01-18,2026-07-12,Lease agreement for House in FL for 18 months. Condition: Fair.
251,2024-09-26,2024-09-28,2027-09-13,Lease agreement for Office in NY for 36 months. Condition: Good.
252,2023-12-07,2024-01-06,2024-12-31,Lease agreement for Apartment in TX for 12 months. Condition: Fair.
253,2024-12-31,2025-01-13,2026-05-08,Lease agreement for Apartment in TX for 16 months. Condition: Fair.
254,2024-12-31,2025-01-28,2026-08-21,Lease agreement for Apartment in TX for 19 months. Condition: Fair.
255,2021-08-02,2021-08-04,2024-02-20,Lease agreement for Studio in CA for 31 months. Condition: Good.
256,2024-10-31,2024-11-27,2026-03-22,Lease agreement for Studio in CA for 16 months. Condition: Good.
257,2023-01-28,2023-02-21,2025-07-10,Lease agreement for House in TX for 29 months. Condition: Good.
258,2024-12-31,2025-01-21,2025-07-20,Lease agreement for House in TX for 6 months. Condition: Good.
259,2024-12-31,2025-01-15,2025-10-12,Lease agreement for House in TX for 9 months. Condition: Good.
260,2024-04-09,2024-04-16,2026-12-02,Lease agreement for House in TX for 32 months. Condition: Good.
261,2024-12-31,2025-01-11,2026-10-03,Lease agreement for House in TX for 21 months. Condition: Good.
262,2024-12-31,2025-01-25,2026-02-19,Lease agreement for House in TX for 13 months. Condition: Good.
263,2023-09-12,2023-10-06,2026-08-21,Lease agreement for House in NY for 35 months. Condition: Fair.
264,2024-12-31,2025-01-18,2028-01-03,Lease agreement for House in NY for 36 months. Condition: Fair.
265,2024-12-31,2025-01-15,2027-02-04,Lease agreement for House in NY for 25 months. Condition: Fair.
266,2024-03-14,2024-03-29,2025-05-23,Lease agreement for House in IL for 14 months. Condition: Fair.
267,2024-12-31,2025-01-02,2026-11-23,Lease agreement for House in IL for 23 months. Condition: Fair.
268,2024-12-31,2025-01-11,2027-10-28,Lease agreement for House in IL for 34 months. Condition: Fair.
269,2024-12-29,2025-01-14,2027-01-04,Lease agreement for Apartment in TX for 24 months. Condition: Good.
270,2024-12-31,2025-01-08,2026-02-02,Lease agreement for Apartment in TX for 13 months. Condition: Good.
271,2021-03-08,2021-03-25,2023-03-15,Lease agreement for Office in NY for 24 months. Condition: Good.
272,2024-10-20,2024-10-31,2027-07-18,Lease agreement for Office in NY for 33 months. Condition: Good.
273,2024-12-31,2025-01-06,2026-04-01,Lease agreement for Office in NY for 15 months. Condition: Good.
274,2024-09-05,2024-09-06,2026-04-29,Lease agreement for Villa in IL for 20 months. Condition: Good.
275,2024-12-31,2025-01-03,2027-06-22,Lease agreement for Villa in IL for 30 months. Condition: Good.
276,2024-12-31,2025-01-18,2026-10-10,Lease agreement for Villa in IL for 21 months. Condition: Good.
277,2022-05-13,2022-06-03,2023-08-27,Lease agreement for Apartment in NY for 15 months. Condition: Fair.
278,2024-06-13,2024-07-04,2026-11-21,Lease agreement for Apartment in NY for 29 months. Condition: Fair.
279,2024-12-07,2024-12-24,2025-10-20,Lease agreement for Apartment in TX for 10 months. Condition: Good.
